省份,品种名称,亲本来源,类型,原产地,审定编号,审定方,审定序号,母本,审定公司
广西,美优桂99,美A×桂99,籼型三系杂交稻,广西农业科学院水稻研究所,桂审稻2001039号,桂审稻,2001039,美A,广西农业科学院水稻研究所
海南,热科182,美香占2号×黄华占//金农丝苗/SIPI,籼型常规稻,中国热带农业科学院热带作物品种资源研究所,琼审稻2021010,琼审稻,2021010,美香占2号,中国热带农业科学院热带作物品种资源研究所
广西,丝香1号,丝苗香×西山香/桂99,粳型常规稻,玉林市农业科学研究所等,桂审稻2008022号,桂审稻,2008022,丝苗香,玉林市农业科学研究所
广西,顺A,优ⅠA×顺B,籼型不育系,广西大学,桂审稻2009030号,桂审稻,2009030,优ⅠA,广西大学
广西,博优358,博A×测358,籼型三系杂交稻,广西大学,桂审稻2007029号,桂审稻,2007029,博A,广西大学
广西,桂育2号,油占8号×特优63-rM5,籼型常规稻,广西农业科学院水稻研究所等,桂审稻2008021号,桂审稻,2008021,油占8号,广西农业科学院水稻研究所
广西,黄华占,黄新占×丰华占,籼型常规稻,广东省农业科学院水稻研究所,桂审稻2008020号,桂审稻,2008020,黄新占,广东省农业科学院水稻研究所
广西,科德优红33,科德186A×红香恢SR33M,籼型三系杂交稻,广西象州黄氏水稻研究所,桂审稻2008019号,桂审稻,2008019,科德186A,广西象州黄氏水稻研究所
广西,六优1025,六A×桂1025,籼型三系杂交稻,广西农业科学院水稻研究所,桂审稻2001038号,桂审稻,2001038,六A,广西农业科学院水稻研究所
海南,绿新占,新黄占×五山丝苗,籼型常规稻,深圳市金谷美香实业有限公司,琼审稻2021009,琼审稻,2021009,新黄占,深圳市金谷美香实业有限公司
广西,灵优6602,灵红A×R6602,籼型三系杂交稻,广西桂穗种业有限公司,桂审稻2005006号,桂审稻,2005006,灵红A,广西桂穗种业有限公司
广西,孟两优705,孟S×R705,籼型两系杂交稻,广西壮族自治区种子公司,桂审稻2013012号,桂审稻,2013012,孟S,广西壮族自治区种子公司
广西,博Ⅱ优3550,博ⅡA×广恢3550,籼型三系杂交稻,广西岑溪市种子公司,桂审稻200054号,桂审稻,200054,博ⅡA,广西岑溪市种子公司
广西,百优1191,百A×桂恢1191,籼型三系杂交稻,广西农业科学院水稻研究所,桂审稻2008018号,桂审稻,2008018,百A,广西农业科学院水稻研究所
广西,特优128,龙特甫A×R128,籼型三系杂交稻,广西藤县种子公司等,桂审稻2001037号,桂审稻,2001037,龙特甫A,广西藤县种子公司
海南,红香110,红香2A×香恢10号,籼型三系杂交稻,湖北中香米业有限责任公司,琼审稻2021008,琼审稻,2021008,红香2A,湖北中香米业有限责任公司
广西,博优8305,博A×华恢305,籼型三系杂交稻,华南农业大学农学院,桂审稻2007028号,桂审稻,2007028,博A,华南农业大学农学院
